nom,description
"Solicode","SOLICODE est un centre de formation solidaire et inclusif, ouvert aux jeunes motivés et intéressés par les métiers du Développement Web et Mobile."
"ISTA NTIC","L’Institut Spécialisé dans les Métiers de l’Offshoring et les Nouvelles Technologies de l’Information et de la Communication (ISMONTIC) de Tanger est un établissement supérieur relevant de l’Office de la Formation Professionnelle et de la Formation de Travail (OFPPT). L’ISMONTIC a pour mission de former, au meilleur niveau international, de véritables professionnels maîtrisant les techniques informatiques d’aujourd’hui, aptes à assimiler celles de demain et à innover dans ce domaine sans cesse en évolution et qui offre un large spectre de métiers."
"ISTA Ibn Marhal","Institut Spécialisé de Technologie Appliquée Ibn Marhal Tanger"
"CNMH","Centre National Mohamed VI des Handicapés"
